topic_type,topic_slug,matched_seed,keyword,search_volume,cpc_usd,competition_level,keyword_difficulty,search_intent
page,home,marketing for dentists,marketing strategies for dentists,50,,LOW,18,commercial
page,home,marketing for dentists,marketing software for dentists,40,51.07,LOW,75,commercial
page,home,marketing for dentists,facebook marketing for dentists,40,31.39,LOW,0,commercial
page,home,marketing for dentists,marketing services for dentists,40,,LOW,58,commercial
page,local-seo,dental SEO,dental seo services,1300,43.17,LOW,8,commercial
page,local-seo,dental SEO,dental seo service,1300,43.17,LOW,6,commercial
page,local-seo,dental SEO,seo for dental,1300,38.61,LOW,7,commercial
page,local-seo,dental SEO,dental seo marketing,1300,38.61,LOW,16,commercial
page,local-seo,dental SEO,local seo for dental,1000,53.69,LOW,0,commercial
page,local-seo,dental SEO,dental seo company,1000,68.89,LOW,9,commercial
page,local-seo,dental SEO,dental seo companies,1000,68.89,LOW,1,commercial
page,local-seo,dental SEO,dental seo agencies,590,31.42,LOW,3,commercial
page,local-seo,dental SEO,dental seo agency,590,31.42,LOW,0,commercial
page,local-seo,dental SEO,dental seo experts,480,51.82,LOW,3,commercial
page,local-seo,dental SEO,dental seo expert,480,51.82,LOW,2,commercial
page,local-seo,dental SEO,seo for dental practices,390,62.86,LOW,7,commercial
page,local-seo,dental SEO,dental practice seo,390,62.86,LOW,15,commercial
page,local-seo,dental SEO,seo for dental practice,390,62.86,LOW,15,commercial
page,local-seo,dental SEO,dental seo marketing agency,210,,LOW,27,commercial
page,local-seo,dental SEO,seo for dental office,170,68.38,MEDIUM,24,commercial
page,local-seo,local SEO for dentists,local seo for dentists,1000,53.69,LOW,0,commercial
page,local-seo,local SEO for dentists,local seo guide for dentists,10,,LOW,,informational
page,local-seo,local SEO for dentists,local seo for dentists in houston,10,,LOW,,commercial
page,patient-generation,dental patient acquisition,dental patient acquisition,20,,LOW,0,commercial
page,patient-generation,dental patient acquisition,dental patient acquisition cost,10,,,,informational
page,patient-generation,dental patient acquisition,new dental patient acquisition,10,,,,commercial
page,patient-generation,dental patient acquisition,patient acquisition cost dental,10,,,,informational
page,patient-generation,dental patient acquisition,cost of patient acquisition dental,,,,,commercial
page,patient-generation,how to get more dental patients,how to get more dental patients,50,26.69,LOW,0,informational
page,patient-generation,how to get more dental patients,how to get more patients for dental office,30,27.21,MEDIUM,0,informational
page,patient-generation,how to get more dental patients,how to get more patients in a dental office,30,27.21,MEDIUM,0,informational
page,patient-generation,how to get more dental patients,how to get more new dental patients,10,,,,informational
page,patient-generation,how to get more dental patients,how to get more patients dental practice,10,,HIGH,,informational
page,patient-generation,how to get more dental patients,how to get more patients into your dental practice,10,,,33,informational
page,patient-generation,how to get more dental patients,how to get more patients in dental practice,10,,LOW,,informational
page,patient-generation,how to get more dental patients,how to get more patients in your dental office,10,,,,informational
page,patient-generation,how to get more dental patients,how to get more ppo dental patients,,,,,informational
page,patient-generation,how to get more dental patients,how to get more patients in dental school,,,,,informational
page,patient-generation,dental leads,dental leads,20,106.36,MEDIUM,0,transactional
page,patient-generation,dental leads,dental insurance leads,20,19.13,HIGH,0,commercial
page,patient-generation,dental leads,dental plan leads,20,19.13,HIGH,0,informational
page,patient-generation,dental leads,buy dental leads,10,,,,transactional
page,patient-generation,dental leads,dental leads for sale,10,62.59,HIGH,,transactional
page,patient-generation,dental leads,prime dental leads,10,,LOW,,navigational
page,patient-generation,dental leads,free dental insurance leads,10,,,,informational
page,patient-generation,dental leads,dental patient leads,10,,MEDIUM,,navigational
page,patient-generation,dental leads,dental implant leads,10,,MEDIUM,,transactional
page,patient-generation,dental leads,how much do dental leads cost,10,,,,informational
page,patient-generation,dental leads,how to get dental leads,10,,,,informational
page,patient-generation,dental leads,poor dental health leads to,10,,,69,informational
page,patient-generation,dental leads,inadequate intake of this mineral leads to dental caries,10,,,2,informational
page,patient-generation,dental leads,free dental leads,0,,,,transactional
page,patient-generation,dental leads,aged dental leads,,,,,transactional
page,patient-generation,dental leads,dental and vision insurance leads,,,,,navigational
page,patient-generation,dental leads,dental leads marketing,,,,,commercial
page,patient-generation,dental leads,dental lab leads,,,,,transactional
page,patient-generation,dental leads,cost for dental leads,,,,,informational
page,patient-generation,dental leads,dental leads agency,,,,,navigational
page,website-design,dental website design,dental clinic website design,880,38.69,LOW,41,commercial
page,website-design,dental website design,website design dental,880,38.69,LOW,84,commercial
page,website-design,dental website design,dental website design,880,38.69,LOW,8,commercial
page,website-design,dental website design,dental design website,880,38.69,LOW,56,navigational
page,website-design,dental website design,dental website design companies,320,107.01,MEDIUM,57,commercial
page,website-design,dental website design,dental website design company,320,107.01,MEDIUM,60,commercial
page,website-design,dental website design,dental website design service,260,,LOW,13,commercial
page,website-design,dental website design,dental website design templates,170,14.19,MEDIUM,0,informational
page,website-design,dental website design,dental website design agency,170,56.86,LOW,96,commercial
page,website-design,dental website design,website design dental practice,110,93.1,LOW,16,commercial
page,website-design,dental website design,best dental website design,110,27.4,LOW,24,commercial
page,website-design,dental website design,best dental clinic website design,110,27.4,LOW,12,informational
page,website-design,dental website design,dental practice website design,110,93.1,LOW,12,commercial
page,website-design,dental website design,website design for dental practice,110,93.1,LOW,13,commercial
page,website-design,dental website design,dental office website design,50,66.06,MEDIUM,30,commercial
page,website-design,dental website design,custom dental website design,30,,LOW,26,commercial
page,website-design,dental website design,dental lab website design,30,,LOW,0,informational
page,website-design,dental website design,dental website design cost,30,45.69,LOW,0,commercial
page,website-design,dental website design,dental website design and marketing,20,,LOW,57,commercial
page,website-design,dental website design,best dental website design companies,20,,HIGH,60,commercial
page,website-design,dentist website company,dentist website design company,320,107.01,MEDIUM,60,commercial
page,paid-ads,dental google ads,google ads for dental,320,44.28,LOW,0,commercial
page,paid-ads,dental google ads,dental google ads,320,44.28,LOW,0,commercial
page,paid-ads,dental google ads,dental google ads agency,90,115.24,LOW,8,commercial
page,paid-ads,dental google ads,google ads for dental implants,10,,LOW,,commercial
page,paid-ads,dental google ads,dental clinic google ads,,,,,commercial
page,paid-ads,dental google ads,best dental google ads,,,,,commercial
page,paid-ads,dental google ads,sample dental google ads,,,,,commercial
page,paid-ads,dental google ads,dental office google ads,,,,,navigational
page,paid-ads,dental google ads,google ads for dental clinic,,,,,commercial
page,paid-ads,dental facebook ads,dental clinic facebook ads,30,,LOW,,navigational
page,paid-ads,dental facebook ads,dental facebook ads examples,30,,LOW,0,informational
page,paid-ads,dental facebook ads,dental ads on facebook,10,,LOW,0,commercial
page,paid-ads,dental facebook ads,facebook ads for dental clinic,10,,LOW,,commercial
page,paid-ads,dental facebook ads,best facebook ads for dental implants,,,,,informational
page,paid-ads,dental facebook ads,facebook ads for dental implants,,,,0,commercial
page,paid-ads,dental facebook ads,effective dental facebook ads,,,,,commercial
page,paid-ads,dental facebook ads,detailed targeting ads for dental clinic for facebook ads,,,,,commercial
page,paid-ads,dental facebook ads,facebook ads for dental practices,,,,,informational
page,paid-ads,dental facebook ads,how to attract high quality dental patients using facebook ads,,,,,informational
page,reputation,dental reviews management,mge dental management reviews,30,,LOW,10,informational
page,reputation,dental reviews management,straine dental management reviews,30,,LOW,1,informational
page,reputation,dental reviews management,premier care dental management reviews,20,,LOW,0,commercial
page,reputation,dental reviews management,south georgia dental management reviews,20,,LOW,,commercial
page,reputation,dental reviews management,dental care management reviews,10,,,,informational
page,reputation,dental reviews management,alfa dental management reviews,10,,LOW,,informational
page,reputation,dental reviews management,best dental practice management software reviews,10,,,,commercial
page,reputation,dental reviews management,fortune management dental reviews,10,,LOW,50,informational
page,reputation,dental reviews management,blackford dental management reviews,10,,,,informational
page,reputation,dental reviews management,freedom dental management reviews,10,,,,informational
page,reputation,dental reviews management,dental practice management software reviews,10,,LOW,20,commercial
page,reputation,dental reviews management,sterling dental management reviews,0,,,,informational
page,reputation,dental reviews management,dental health management solutions reviews,,,,,commercial
page,reputation,dental reviews management,strive dental management reviews,,,,,informational
page,reputation,dental reviews management,vanguard dental management reviews,,,,,informational
page,reputation,dental reviews management,marquis dental spa management of america llc reviews,,,,,informational
page,reputation,dental reviews management,advanced dental management reviews,,,,48,commercial
page,reputation,dental reviews management,select dental management reviews,,,,,informational
page,pricing-services,dental marketing services,marketing dental services,390,53.6,LOW,52,commercial
page,pricing-services,dental marketing services,dental marketing services,390,53.6,LOW,72,commercial
page,pricing-services,dental marketing services,dental seo marketing services,170,,LOW,14,commercial
page,pricing-services,dental marketing services,dental digital marketing services,140,,LOW,57,commercial
page,pricing-services,dental marketing services,dental online marketing services,70,,LOW,79,commercial
page,pricing-services,dental marketing services,digital marketing services for dental clinics,10,,,,commercial
page,pricing-services,dental marketing services,best dental marketing services,10,,LOW,,commercial
page,pricing-services,dental marketing services,dental office marketing services,10,,LOW,,commercial
page,pricing-services,dental marketing services,pacific dental services regional marketing assistant,,,,,navigational
page,pricing-services,dental marketing services,group marketing services dental,,,,,commercial
page,pricing-services,dental marketing services,dental practice marketing services,,,,,commercial
page,pricing-services,dental marketing packages,dental marketing packages,10,19.68,HIGH,,commercial
page,pricing-services,dental marketing packages,dental digital marketing pricing packages,,,,,commercial
page,about,dental marketing company,dental marketing company,880,49.06,MEDIUM,72,commercial
page,about,dental marketing company,dental online marketing company,210,,LOW,79,commercial
page,about,dental marketing company,dental digital marketing company,140,65.63,LOW,57,commercial
page,about,dental marketing company,best dental marketing company,140,59.43,MEDIUM,56,commercial
page,about,dental marketing company,dental seo marketing company,110,,LOW,38,commercial
page,about,dental marketing company,dental marketing company near me,90,,LOW,79,navigational
page,about,dental marketing company,dental seo internet marketing company,70,,LOW,16,commercial
page,about,dental marketing company,dental search marketing company,50,,LOW,56,commercial
page,about,dental marketing company,dental implant marketing company,30,47.87,MEDIUM,2,navigational
page,about,dental marketing company,top dental marketing company,20,83.19,LOW,57,commercial
page,about,dental marketing company,the dental marketing company,10,,HIGH,72,navigational
page,about,dental marketing company,largest dental marketing company,,,,,informational
page,about,dental marketing company,dental practice marketing company,,,,72,informational
page,about,dental marketing company,dental marketing company reviews,,,,,informational
page,about,dental marketing company,best dental marketing company near california,,,,,commercial
page,about,dental marketing company,dental digital marketing company near california,,,,,commercial
page,about,dental marketing company,dental digital marketing company near texas,,,,,commercial
page,about,dental marketing company,best dental marketing company near texas,,,,,commercial
page,about,dental marketing consultant,dental marketing consultant,170,6.42,LOW,42,commercial
page,about,dental marketing consultant,dental practice marketing consultant,20,,LOW,72,commercial
competitor-term,ai-angle,AI for dental practices,ai for dental practices,10,,LOW,,commercial
